ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,30140,2007-09-01,2012-12-01,,R,,,,001
030302,30142,2007-09-01,,,R,,,,001
030302,30143,2005-04-01,,,G,,,,001
030302,30152,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,30152,2010-07-01,2013-01-01,recesso f.a.,R,,,,006
030302,30176,2002-03-01,2012-12-01,Cessazione medico,A,,,,012
030302,30189,2010-10-29,,,G,,,,011
030302,30209,2007-05-23,,,R,,,,004
030302,30237,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,30237,2012-12-31,,,G,,,,010
030302,30252,2008-07-21,2012-08-02,,G,,,,010
030302,30263,2003-02-01,2011-03-09,cessazione f.a.,A,,,,002
030302,30263,2011-03-10,,,R,,,,002
030302,30268,1999-05-01,,,G,,,,009
030302,30281,1996-09-02,2013-08-01,Cessazione medico,G,,,,001
030302,30292,1999-09-01,2012-12-31,cessazione f.a.,G,,,,001
030302,30318,2007-10-01,,,R,,,,006
030302,30342,2006-12-29,,,R,,,,001
030302,30352,2006-02-08,,,R,,,,001
030302,30361,2007-05-23,,,R,,,,004
030302,30390,2010-05-17,,,G,,,,009
030302,30432,2003-05-15,2010-03-10,cessazione f.a.,A,,,,002
030302,30432,2010-03-11,,,G,,,,002
030302,30452,2006-09-22,,,R,,,,004
030302,30466,2005-09-24,,,R,,,,004
030302,30473,2005-09-24,,,R,,,,004
030302,30474,2007-12-15,,,R,,,,001
030302,30476,2006-12-29,2013-07-01,Cessazione medico,R,,,,001
030302,30483,2008-07-21,,,G,,,,010
030302,30486,2008-07-21,,,G,,,,010
030302,30492,2007-05-30,,,R,,,,001
030302,30494,2005-05-01,2012-12-31,cessazione f.a.,A,,,,004
030302,30494,2013-01-01,,,R,,,,004
030302,30498,2005-09-24,,,R,,,,004
030302,30501,2008-12-31,,,G,,,,009
030302,30502,2005-03-14,,,G,,,,012
030302,30512,2005-03-01,2010-12-15,cessazione f.a.,A,,,,004
030302,30512,2010-12-16,,,G,,,,004
030302,30514,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,30514,2009-01-01,,,R,,,,008
030302,30515,1999-06-02,,,G,,,,004
030302,30524,2003-07-01,2012-12-31,Cessazione medico,A,,,,004
030302,30526,1999-09-01,2012-12-31,cessazione f.a.,G,,,,001
030302,30527,2002-01-30,2012-07-01,cessazione f.a.,A,,,,011
030302,30535,2006-12-27,,,G,,,,005
030302,30541,2007-05-30,,,R,,,,001
030302,30547,2006-12-29,,,R,,,,001
030302,30554,2007-10-01,,,R,,,,006
030302,30555,2004-04-14,2012-12-31,cessazione f.a.,A,,,,007
030302,30556,2005-11-28,,,R,,,,001
030302,30562,2006-08-01,,,R,,,,006
030302,30566,1999-04-30,,,G,,,,004
030302,30567,2005-07-01,,,G,,,,011
030302,30571,2007-10-01,,,R,,,,003
030302,30574,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,30574,2010-07-01,,,R,,,,006
030302,30575,2005-09-24,,,R,,,,004
030302,30579,2002-01-01,,,A,,,,005
030302,30581,2002-01-01,2012-12-31,cessazione f.a.,A,,,,004
030302,30581,2013-01-01,,,R,,,,004
030302,30582,2007-05-30,,,R,,,,001
030302,30589,2005-09-24,,,R,,,,004
030302,30597,2006-12-29,,,R,,,,001
030302,30600,2006-09-21,,,R,,,,006
030302,30602,2007-05-23,,,R,,,,004
030302,30603,2006-09-21,,,R,,,,006
030302,30612,2005-01-28,2011-11-21,Cessazione medico,G,,,,005
030302,30614,1987-07-01,,,G,,,,001
030302,30618,2010-05-17,2012-12-01,,G,,,,009
030302,30625,2007-10-01,,,R,,,,001
030302,30629,2007-04-01,,,R,,,,001
030302,30633,2005-05-03,,,G,,,,009
030302,30642,2005-04-01,,,G,,,,001
030302,30650,2004-06-01,,,G,,,,003
030302,30656,1999-07-09,,,G,,,,012
030302,30657,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,30657,2011-01-01,,,G,,,,002
030302,30663,2007-07-18,,,R,,,,002
030302,30672,2003-08-01,2012-12-01,cessazione f.a.,A,,,,004
030302,30690,1988-01-01,,,G,,,,003
030302,30695,2007-04-18,,,R,,,,001
030302,30699,2005-08-01,,,G,,,,002
030302,30700,1996-09-02,,,G,,,,001
030302,30720,2007-10-01,,,R,,,,009
030302,30724,2006-01-01,,,R,,,,006
030302,30729,2007-07-16,,,G,,,,007
030302,30730,2005-12-22,,,R,,,,006
030302,30735,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,30735,2012-02-10,,,R,,,,010
030302,30741,2000-12-31,2012-12-31,cessazione f.a.,G,,,,001
030302,30741,2013-01-01,,,G,,,,001
030302,30743,2006-12-29,,,R,,,,001
030302,30750,2005-10-01,,,G,,,,005
030302,30761,2008-12-29,,,G,,,,008
030302,30769,2007-10-01,,,R,,,,009
030302,30775,2007-05-30,,,R,,,,001
030302,30777,2006-12-29,,,R,,,,001
030302,30781,2007-12-15,,,R,,,,001
030302,30784,2006-12-29,,,R,,,,001
030302,30785,2007-06-15,,,R,,,,003
030302,30788,2005-11-28,,,R,,,,001
030302,30789,2006-12-29,,,R,,,,001
030302,30797,2003-02-01,2011-03-09,cessazione f.a.,A,,,,002
030302,30797,2011-03-10,,,R,,,,002
030302,30799,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,30799,2010-03-01,,,R,,,,011
030302,30805,2005-09-30,2010-04-13,cessazione f.a.,R,,,,002
030302,30805,2010-04-14,,,G,,,,002
030302,30806,2007-10-15,,,R,,,,001
030302,30810,2007-01-10,,,R,,,,002
030302,30816,2005-10-03,,,G,,,,011
030302,30817,2010-10-29,,,G,,,,011
030302,30821,2007-09-01,,,R,,,,001
030302,30822,1999-05-01,,,G,,,,003
030302,30829,2007-12-15,,,R,,,,001
030302,30831,2005-09-01,,,G,,,,008
030302,30833,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,30833,2009-01-01,,,R,,,,008
030302,30837,2011-01-01,,,R,,,,012
030302,30838,2005-05-03,,,G,,,,009
030302,30841,2005-09-23,,,G,,,,009
030302,30847,2003-08-01,2012-03-29,cessazione f.a.,A,,,,004
030302,30847,2012-03-30,,,R,,,,004
030302,30849,2005-10-03,,,G,,,,011
030302,30851,2007-09-01,,,G,,,,012
030302,30852,1987-07-01,,,G,,,,001
030302,30853,2005-03-14,,,G,,,,012
030302,30855,2006-06-22,,,G,,,,007
030302,30856,2005-03-14,,,G,,,,012
030302,30860,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,30860,2009-01-01,,,R,,,,008
030302,30880,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,30880,2011-12-29,,,R,,,,010
030302,30890,2006-12-29,,,R,,,,001
030302,30893,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,30893,2011-12-29,,,R,,,,010
030302,30898,2007-05-23,,,R,,,,004
030302,30904,2007-06-15,,,R,,,,003
030302,30910,2002-09-02,,,G,,,,003
030302,30934,2007-09-15,,,R,,,,006
030302,30940,2004-10-01,2012-04-14,cessazione f.a.,A,,,,003
030302,30940,2012-04-15,,,R,,,,003
030302,30943,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,30943,2012-02-10,,,R,,,,010
030302,30954,1996-09-02,,,G,,,,001
030302,30964,1999-04-30,,,G,,,,004
030302,30968,2006-09-22,,,R,,,,004
030302,30972,2004-06-10,2012-12-31,cessazione f.a.,A,,,,007
030302,30972,2013-01-01,,,R,,,,007
030302,30974,2010-10-29,,,G,,,,011
030302,30979,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,30979,2011-12-29,,,R,,,,010
030302,30981,2005-03-14,,,G,,,,012
030302,30986,1988-01-01,,,G,,,,003
030302,30987,2005-09-01,,,G,,,,008
030302,31216,2005-05-03,,,G,,,,009
030302,31275,2006-02-08,,,R,,,,001
030302,31277,2007-09-01,,,R,,,,008
030302,31495,2007-10-17,,,R,,,,011
030302,31504,2007-12-10,,,G,,,,008
030302,31566,2005-03-01,,,G,,,,002
030302,31591,2007-09-01,,,R,,,,012
030302,31633,2007-10-17,,,R,,,,011
030302,31752,2005-10-05,,,R,,,,001
030302,31864,2004-06-01,,,G,,,,003
030302,31914,2000-01-01,,,G,,,,003
030302,31940,2006-12-29,,,R,,,,001
030302,32015,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,32015,2010-12-31,,,R,,,,003
030302,32019,2005-02-18,,,G,,,,005
030302,32023,2008-08-28,,,R,,,,002
030302,32056,2005-10-05,,,R,,,,001
030302,32057,2005-10-05,2010-12-31,recesso f.a.,R,,,,001
030302,32057,2011-01-01,,,G,,,,001
030302,32109,2005-04-01,,,G,,,,001
030302,32318,2005-04-15,2012-12-27,cessazione f.a.,A,,,,012
030302,32318,2012-12-28,,,R,,,,012
030302,32372,2005-10-05,2010-12-31,recesso f.a.,R,,,,001
030302,32372,2011-01-01,,,G,,,,001
030302,32403,2006-04-28,,,R,,,,001
030302,32470,2007-05-23,,,R,,,,004
030302,32547,2008-07-21,,,G,,,,010
030302,32568,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,32568,2009-01-01,,,R,,,,008
030302,32593,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,32593,2010-12-31,,,R,,,,003
030302,32620,2000-12-31,2012-12-31,cessazione f.a.,G,,,,001
030302,32620,2013-01-01,,,G,,,,001
030302,32689,2013-01-01,,,R,,,,011
030302,32690,2007-09-01,,,G,,,,012
030302,32728,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,32728,2010-12-31,,,R,,,,003
030302,32846,2005-02-18,,,G,,,,005
030302,32883,2005-12-22,,,R,,,,006
030302,32905,2005-09-24,,,R,,,,004
030302,32916,2004-04-14,2012-12-31,cessazione f.a.,A,,,,007
030302,32974,2006-06-22,,,G,,,,007
030302,32998,2006-04-28,,,R,,,,001
030302,33084,2005-09-23,,,G,,,,009
030302,33235,2005-08-01,,,G,,,,002
030302,33267,2005-10-05,2010-12-31,recesso f.a.,R,,,,001
030302,33267,2011-01-01,,,G,,,,001
030302,33272,2011-01-01,,,R,,,,006
030302,33323,2002-03-01,2012-12-31,cessazione f.a.,A,,,,012
030302,33323,2013-01-01,,,R,,,,012
030302,33389,2006-08-01,,,R,,,,006
030302,33445,2006-12-27,,,R,,,,007
030302,33451,1987-07-01,,,G,,,,001
030302,33650,2005-03-01,,,G,,,,011
030302,33677,2013-01-01,,,G,,,,001
030302,33722,2007-10-15,,,R,,,,001
030302,33793,2008-12-29,,,G,,,,008
030302,33821,2006-09-21,,,R,,,,006
030302,33858,2007-10-15,,,R,,,,001
030302,33972,2006-12-27,2012-12-31,recesso f.a.,R,,,,001
030302,33972,2013-01-01,,,G,,,,001
030302,33985,2004-06-01,,,G,,,,003
030302,34000,2011-01-01,,,R,,,,006
030302,34068,2005-11-28,,,R,,,,001
030302,34121,2010-03-01,,,R,,,,011
030302,34123,2007-01-10,,,R,,,,002
030302,34213,2004-02-16,,,G,,,,009
030302,34257,1999-07-09,,,G,,,,012
030302,34350,1999-09-01,,,G,,,,003
030302,34381,2007-10-01,,,R,,,,009
030302,34426,2005-03-01,,,G,,,,002
030302,34436,2005-09-01,,,G,,,,008
030302,34454,2005-03-01,,,G,,,,011
030302,34460,2005-08-01,,,G,,,,002
030302,34517,2004-06-10,2012-12-31,cessazione f.a.,A,,,,007
030302,34530,2003-05-15,2010-03-10,cessazione f.a.,A,,,,002
030302,34530,2010-03-11,,,G,,,,002
030302,34546,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,34546,2011-12-29,,,R,,,,010
030302,34572,2005-02-18,,,G,,,,005
030302,34708,2011-01-01,,,G,,,,004
030302,34879,2005-05-01,2012-12-31,cessazione f.a.,A,,,,012
030302,34879,2013-01-01,,,R,,,,012
030302,34979,2007-10-01,,,R,,,,003
030302,35041,2005-01-28,,,G,,,,005
030302,35224,2005-02-01,,,G,,,,011
030302,35793,2011-01-01,,,R,,,,012
030302,35999,2007-10-01,,,R,,,,009
030302,36197,2005-04-15,2012-12-27,cessazione f.a.,A,,,,012
030302,36197,2012-12-28,,,R,,,,012
030302,37595,2008-12-31,,,G,,,,009
030302,37892,2007-01-10,,,R,,,,002
030302,39021,2007-04-01,,,R,,,,001
030302,39024,2002-09-02,,,G,,,,003
030302,39025,2005-03-14,,,G,,,,012
030302,39032,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,39032,2010-12-31,,,R,,,,003
030302,39041,2007-07-16,,,G,,,,007
030302,39042,2005-05-01,2012-12-31,cessazione f.a.,A,,,,012
030302,39042,2013-01-01,,,R,,,,012
030302,39043,2006-04-28,,,R,,,,001
030302,39045,2000-03-10,,,G,,,,003
030302,39046,2006-12-20,,,G,,,,010
030302,39048,2007-10-01,,,R,,,,009
030302,39051,2005-03-01,,,G,,,,011
030302,43321,2005-05-01,2011-10-31,cessazione f.a.,A,,,,004
030302,43798,2009-06-27,2010-12-15,cessazione f.a.,A,,,,004
030302,43798,2010-12-16,,,G,,,,004
030302,43998,2011-04-26,,,A,,,,005
030302,44163,2006-12-20,,,G,,,,010
030302,44181,2006-09-22,,,R,,,,004
030302,44394,2013-01-01,,,G,,,,004
030302,44698,2013-01-01,,,G,,,,004
030302,44904,2011-01-01,,,G,,,,004
030302,45283,2011-01-01,,,R,,,,006
030302,45469,2008-12-31,,,G,,,,011
030302,45525,2010-02-01,,,G,,,,003
030302,45565,2013-01-01,,,G,,,,001
030302,45804,2011-01-01,,,G,,,,010
030302,45824,2011-01-01,,,G,,,,004
030302,46240,2010-03-29,2010-04-13,cessazione f.a.,R,,,,002
030302,46240,2010-04-14,,,G,,,,002
030302,46326,2011-01-01,,,G,,,,011
030302,46388,2010-02-01,,,G,,,,002
030302,46406,2009-10-12,2012-12-31,cessazione f.a.,A,,,,004
030302,46406,2013-01-01,,,R,,,,004
030302,46474,2013-01-01,,,R,,,,004
030302,47140,2011-01-01,,,G,,,,002
030302,47333,2007-09-01,,,R,,,,008
030302,47359,2010-04-01,2010-12-15,cessazione f.a.,A,,,,004
030302,47359,2010-12-16,,,G,,,,004
030302,47395,2010-05-17,,,G,,,,008
030302,47526,2007-10-01,,,R,,,,009
030302,47738,2011-01-01,,,G,,,,011
030302,47764,2010-10-29,,,G,,,,011
030302,47835,2005-12-22,,,R,,,,006
030302,47836,2013-01-01,,,R,,,,012
030302,47874,2010-10-29,,,G,,,,011
030302,48100,2013-01-01,,,G,,,,001
030302,48149,2013-01-01,,,R,,,,011
030302,48361,2013-01-01,,,R,,,,004
030302,48428,2011-08-31,,,G,,,,009
030302,48537,2011-12-01,,,G,,,,005
030302,48779,,,,G,,,,005
030302,48861,2013-01-01,,,G,,,,004
